Symbol	Bader_receptor	FANTOM5_receptor	CellTalk_receptor	Bader_ligand	FANTOM5_ligand	CellTalk_ligand
Ednra	1	1	1	0	0	0
Ednrb	1	1	1	0	0	0
Cdcp2	0	0	0	1	0	0
Olfr735	1	0	0	0	0	0
Tsku	0	0	0	1	0	0
Col11a1	0	0	0	1	1	0
Col11a2	0	0	0	1	0	0
Hmgb2	0	0	0	1	0	0
Hmgb1	0	0	0	0	0	1
Ramp1	1	1	1	0	0	0
Sparcl1	0	0	0	1	0	0
Ramp3	1	1	1	0	0	0
Ramp2	1	1	1	0	0	0
Adamts10	0	0	0	1	0	0
Adamts13	0	0	0	1	0	0
Adamts12	0	0	0	1	0	0
Adamts15	0	0	0	1	0	0
Adamts14	0	0	0	1	0	0
Adamts17	0	0	0	1	0	0
Adamts16	0	0	0	1	0	0
Adamts19	0	0	0	1	0	0
Adamts18	0	0	0	1	0	0
Bdnf	0	0	0	1	1	1
Clec10a	0	1	0	0	0	0
Il17d	0	0	0	1	0	0
Fgg	0	0	0	1	1	1
Nrcam	0	1	1	0	0	0
Ces4a	0	0	0	1	0	0
Il17f	0	0	0	1	1	1
Thpo	0	0	0	1	1	1
Tspear	0	0	0	1	0	0
Nectin1	0	0	1	0	0	0
Ucn3	0	0	0	1	1	1
Prss54	0	0	0	1	0	0
Prss57	0	0	0	1	0	0
Lfng	0	0	0	1	0	0
Olfr329	1	0	0	0	0	0
Olfr328	1	0	0	0	0	0
Prss53	0	0	0	1	0	0
Ccdc3	0	0	0	1	0	0
Olfr325	1	0	0	0	0	0
Oscar	1	0	0	0	0	0
Cd34	0	0	0	0	1	1
Olfr320	1	0	0	0	0	0
Cd36	1	1	1	0	0	0
Olfr322	1	0	0	0	0	0
Cxcl9	0	0	0	0	0	1
Gal	0	0	0	1	1	1
Sirpb1a	0	1	0	0	0	0
Sirpb1b	0	1	0	0	0	0
Sirpb1c	0	1	0	0	0	0
Oprl1	1	1	1	0	0	0
Mfap5	0	0	0	1	1	1
Lgr5	1	1	1	0	0	0
Lgr4	1	1	1	0	0	0
Lgr6	1	1	1	0	0	0
Ncan	0	0	0	1	1	0
Trf	0	0	0	1	1	1
Cxcr3	1	1	1	0	0	0
Cxcr2	1	1	1	0	0	0
Cxcr1	1	1	1	0	0	0
Cxcr6	1	1	1	0	0	0
Cxcr5	1	1	1	0	0	0
Cxcr4	1	1	1	0	0	0
Cyp2j6	0	0	0	1	0	0
Crim1	1	0	0	0	0	0
Tnfrsf13b	1	1	1	0	0	0
Plxnb1	1	1	1	0	0	0
Plscr4	1	1	1	0	0	0
Plscr1	0	0	0	1	0	0
Cdh5	1	1	0	0	0	0
Olfr183	1	0	0	0	0	0
Igsf1	1	0	0	0	0	0
Olfr187	1	0	0	0	0	0
Defb18	0	0	0	1	0	0
Defb19	0	0	0	1	0	0
Olfr180	1	0	0	0	0	0
Olfr430	1	0	0	0	0	0
Cd3d	1	1	0	0	0	0
Cd3e	1	0	0	0	0	0
Defb12	0	0	0	1	0	0
Cd3g	1	1	0	0	0	0
Plac1	0	0	0	1	0	0
